"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.979232291E0,6.720771198E-4,-1.357179135E-4,-4.184694262E-4
2.989210292E0,1.514292089E-4,8.053053170E-5,-5.082179559E-4
2.999188292E0,-1.539263641E-3,-8.948473260E-4,-7.802639157E-4
3.009166291E0,-1.395985717E-3,-1.493841410E-5,8.107085014E-4
3.019144292E0,-8.497317322E-5,3.391038626E-4,-1.103458460E-3
3.029122292E0,2.268829849E-4,1.814449206E-4,-1.705332892E-3
3.039100291E0,-9.158784524E-4,-7.045120001E-4,4.198876559E-4
3.049078292E0,-7.225330919E-4,6.760712713E-4,-9.084970807E-4
3.059056292E0,-4.188343883E-5,3.129765391E-4,7.409597747E-4
3.069034292E0,-2.086125780E-3,1.140953042E-3,-1.145889750E-3
3.079012292E0,-2.584147733E-4,-1.254593953E-4,1.022930082E-4
3.088990292E0,3.485197085E-4,-8.740741760E-4,-5.440561799E-4
3.098968292E0,2.029587049E-4,3.878055140E-4,6.508877850E-4
3.108946291E0,-3.134282306E-4,-2.002213150E-4,1.209618989E-3
3.118924292E0,-1.267589279E-3,-1.167984679E-3,-6.388960755E-4
3.128902292E0,-3.179059131E-4,7.391050458E-4,5.696464214E-4
3.138880291E0,-8.403696120E-5,-2.510063350E-4,5.513324868E-4
3.148858292E0,2.052350901E-3,-1.035572961E-3,1.031766762E-3
3.158836292E0,-1.288068714E-3,-6.892373785E-4,-4.569387529E-4
3.168814291E0,-8.406578563E-4,4.777600989E-4,5.654487759E-4
3.178792292E0,1.619248651E-4,2.695433795E-4,-5.499501713E-4
3.188770292E0,6.019207649E-5,-1.607453451E-3,2.937392564E-4
3.198748291E0,-2.150941873E-4,-1.190956682E-4,-2.146497136E-4
3.208726292E0,-8.483938873E-4,-1.201611012E-4,1.115066698E-3
3.218704292E0,-7.015467854E-4,-2.406278159E-3,1.140273962E-4
3.228682291E0,-2.562663285E-4,1.514960080E-3,-5.222017644E-4
3.238660292E0,8.182611782E-5,-4.868889228E-4,2.268791432E-4
3.248638292E0,-1.701426459E-3,7.687918842E-4,4.657646932E-4
3.258616291E0,-1.015870832E-3,-1.855865121E-4,-1.211931696E-3
3.268594292E0,-1.239781268E-4,-6.718793884E-4,-1.193822245E-3
3.278572292E0,-1.071550301E-3,-8.079819381E-4,1.433969592E-4
3.288550291E0,-6.494392874E-4,-1.006121747E-3,-3.570109839E-4
3.298528292E0,1.162828179E-3,-1.016426831E-4,-1.055043889E-3
3.308506292E0,5.407137796E-4,-4.459898919E-4,6.637602928E-4
3.318484292E0,3.452459350E-5,1.673595980E-4,-5.520469276E-4
3.328462292E0,-6.547016092E-4,6.688330323E-4,-1.834359020E-3
3.338440292E0,-1.354806824E-3,6.194133312E-5,1.309899526E-4
3.348418292E0,4.683932057E-4,5.314564332E-4,3.725386341E-4
3.358396291E0,1.046918333E-4,-8.865837008E-4,-8.911122568E-4
3.368374292E0,-7.555091288E-4,2.055792138E-4,4.085103283E-4
3.378351292E0,1.713763340E-3,-7.868390530E-4,1.017429400E-3
3.388329291E0,-2.708242973E-4,-1.186523587E-4,-8.233474218E-4
3.398307292E0,-8.756594034E-4,-1.386407763E-3,1.295180060E-3
3.408285292E0,8.644499467E-4,-4.390813410E-5,-6.614443846E-4
3.418263291E0,4.250963684E-4,-1.169831492E-3,6.667254493E-4
3.428241292E0,-5.863722181E-4,1.341104507E-5,-2.451408654E-4
3.438219292E0,-1.735521248E-3,-7.380591705E-4,-4.218923277E-4
3.448197291E0,-7.371022366E-4,1.240065321E-4,-5.172335077E-4
3.458175292E0,-1.417023828E-3,2.471217886E-4,1.756613783E-4
3.468153292E0,-6.987692323E-4,6.788205355E-4,8.108253242E-4
3.478131291E0,5.001837853E-4,-7.248232141E-4,2.114507661E-4
3.488109292E0,7.092418964E-4,-2.600997686E-5,-2.263729111E-4
3.498087292E0,-2.139508724E-4,-1.493562013E-3,8.223874029E-4
3.508065291E0,3.052724060E-5,-1.017122529E-3,-1.498823753E-3
3.518043292E0,2.627744107E-4,7.093884051E-5,8.080825501E-5
3.528021292E0,1.038286951E-3,5.380576476E-4,-5.948357284E-4
3.537999291E0,-4.570151214E-4,-8.946526796E-4,-7.523520617E-4
3.547977292E0,-1.698847162E-3,-5.481755361E-4,1.392742852E-4
3.557955292E0,5.186516792E-4,9.755147621E-4,1.686628908E-3
3.567933292E0,1.244895742E-3,1.053012908E-3,-7.878056203E-5
3.577911292E0,1.395514468E-3,9.058173746E-4,-1.714944956E-3
3.587889292E0,3.490550444E-5,7.657352835E-4,1.115728985E-3
3.597867292E0,-2.152821980E-4,-1.538936049E-4,3.917757131E-4
3.607845291E0,6.470493390E-4,-1.640133560E-4,5.704738433E-4
3.617823292E0,-3.013864625E-4,-2.205790952E-4,2.312510042E-4
3.627801292E0,-9.559914470E-4,-1.043495722E-3,1.079201465E-3
3.637779291E0,-2.264472423E-4,1.357862726E-3,1.943989191E-4
3.647757292E0,5.558156408E-5,-1.007504761E-4,1.452476252E-3
3.657735292E0,2.710594563E-4,-9.368928149E-4,-2.231980761E-5
3.667713291E0,-1.847218839E-3,2.069342881E-4,-4.441645287E-4
3.677691292E0,3.414141247E-4,-6.817113608E-4,5.754255690E-4
3.687669042E0,5.755058955E-4,6.434777752E-4,-1.401658083E-4
3.697647042E0,-5.333510926E-4,-1.194687560E-3,-1.171758049E-4
3.707625041E0,-9.924800834E-4,-1.728329808E-4,-2.101201244E-4
3.717603042E0,-2.493580105E-4,-1.306842081E-3,-1.086679054E-3
3.727581042E0,8.398748469E-4,-9.957849979E-4,-2.786759287E-4
3.737559041E0,-5.878858501E-4,-6.369883195E-4,7.289360510E-4
3.747537042E0,8.851085440E-4,1.236013137E-3,3.145421215E-5
3.757515042E0,8.755041636E-4,-1.003566198E-3,-5.404173280E-4
