"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.309460083E0,1.278341675E-1,1.173559570E-1,9.807006226E0
2.319438083E0,1.351689148E-1,1.172062683E-1,9.815089417E0
2.329416083E0,1.225950623E-1,1.160087585E-1,9.829309845E0
2.339394083E0,1.275347900E-1,1.170565796E-1,9.854158173E0
2.349372083E0,1.323248291E-1,1.134640503E-1,9.849517822E0
2.359350083E0,1.272354126E-1,1.140628052E-1,9.809101868E0
2.369328083E0,1.251397705E-1,1.133143616E-1,9.818681946E0
2.379306083E0,1.309776306E-1,1.270857239E-1,9.842632141E0
2.389284083E0,1.202000427E-1,1.185534668E-1,9.831555176E0
2.399262083E0,1.240919495E-1,1.137634277E-1,9.832453308E0
2.409239083E0,1.324745178E-1,1.161584473E-1,9.825867004E0
2.419217083E0,1.317260742E-1,1.154100037E-1,9.823022919E0
2.429195083E0,1.484912109E-1,1.199006653E-1,9.833950195E0
2.439173083E0,1.344204712E-1,1.330732727E-1,9.820627899E0
2.449151083E0,1.291813660E-1,1.317260742E-1,9.816286926E0
2.459129083E0,1.233435059E-1,1.094224548E-1,9.826615448E0
2.469107083E0,1.251397705E-1,1.109193420E-1,9.844727783E0
2.479085083E0,1.456471252E-1,1.257385254E-1,9.829908600E0
2.489063083E0,1.422042847E-1,1.306782532E-1,9.807006226E0
2.499041083E0,1.267863464E-1,1.157093811E-1,9.807604980E0
2.509019083E0,1.237925720E-1,1.092727661E-1,9.841584320E0
2.518997083E0,1.264869690E-1,1.130149841E-1,9.855505371E0
2.528975083E0,1.320254517E-1,1.299298096E-1,9.813293152E0
2.538953083E0,1.442999268E-1,1.308279419E-1,9.800569611E0
2.548931083E0,1.296304321E-1,1.124162292E-1,9.818232880E0
2.558909083E0,1.246907043E-1,9.684860229E-2,9.854307861E0
2.568887083E0,1.425036621E-1,1.082249451E-1,9.838440857E0
2.578865083E0,1.407073975E-1,1.209484863E-1,9.811496887E0
2.588843083E0,1.212478638E-1,1.222956848E-1,9.825268250E0
2.598821083E0,1.282832336E-1,1.038839722E-1,9.823771362E0
2.608799083E0,1.279838562E-1,1.083746338E-1,9.859696655E0
2.618777083E0,1.219963074E-1,1.112187195E-1,9.830806732E0
2.628755083E0,1.294807434E-1,1.179547119E-1,9.821376343E0
2.638733083E0,1.215472412E-1,1.420545959E-1,9.815538483E0
2.648711083E0,1.329235840E-1,1.218466187E-1,9.851314087E0
2.658689083E0,1.272354126E-1,1.142124939E-1,9.830507355E0
2.668667083E0,1.335223389E-1,1.143621826E-1,9.806706848E0
2.678645083E0,1.272354126E-1,1.245410156E-1,9.821526031E0
2.688623291E0,1.281335449E-1,1.145118713E-1,9.833351440E0
2.698601292E0,1.369651794E-1,1.104702759E-1,9.818981323E0
2.708579292E0,1.508862305E-1,1.157093811E-1,9.823621674E0
2.718557292E0,1.381626892E-1,1.194515991E-1,9.828711090E0
2.728535292E0,1.257385254E-1,1.245410156E-1,9.847721558E0
2.738513292E0,1.234931946E-1,1.170565796E-1,9.839937744E0
2.748491292E0,1.477427673E-1,1.118174744E-1,9.837093658E0
2.758469291E0,1.330732727E-1,1.275347900E-1,9.830657043E0
2.768447292E0,1.275347900E-1,1.380130005E-1,9.817334747E0
2.778425292E0,1.227447510E-1,1.249900818E-1,9.824370117E0
2.788403291E0,1.375639343E-1,1.187031555E-1,9.835147705E0
2.798381292E0,1.285826111E-1,1.097218323E-1,9.850715332E0
2.808359292E0,1.389111328E-1,1.172062683E-1,9.812544708E0
2.818337291E0,1.335223389E-1,1.377136230E-1,9.812844086E0
2.828315292E0,1.360670471E-1,1.149609375E-1,9.830507355E0
2.838292292E0,1.327738953E-1,1.080752563E-1,9.839338989E0
2.848270291E0,1.362167358E-1,1.094224548E-1,9.844278717E0
2.858248292E0,1.386117554E-1,1.245410156E-1,9.827812958E0
2.868226292E0,1.282832336E-1,1.312770081E-1,9.809401245E0
2.878204291E0,1.312770081E-1,1.088237000E-1,9.808353424E0
2.888182292E0,1.263372803E-1,1.100212097E-1,9.837692413E0
2.898160292E0,1.329235840E-1,1.236428833E-1,9.844877472E0
2.908138291E0,1.369651794E-1,1.335223389E-1,9.827214203E0
2.918116292E0,1.445993042E-1,1.258882141E-1,9.799970856E0
2.928094292E0,1.372645569E-1,1.091230774E-1,9.826615448E0
2.938072291E0,1.258882141E-1,1.148112488E-1,9.829758911E0
2.948050292E0,1.309776306E-1,1.291813660E-1,9.839638367E0
2.958028292E0,1.324745178E-1,1.137634277E-1,9.837692413E0
2.968006292E0,1.275347900E-1,1.187031555E-1,9.823921051E0
2.977984292E0,1.311273193E-1,1.134640503E-1,9.810449066E0
2.987962292E0,1.285826111E-1,1.113684082E-1,9.847871246E0
